Time	Channel A  550ms
(ms)	(V)

84.94013000	0.12757900
84.94215000	0.14222930
84.94417000	0.13246250
84.94617000	0.13246250
84.94820000	0.11781220
84.95021000	0.09827860
84.95222000	0.09339519
84.95425000	0.10804540
84.95626000	0.08362837
84.95827000	0.10316200
84.96029000	0.11292880
84.96231000	0.08851178
84.96432000	0.09827860
84.96634000	0.11292880
84.96836000	0.12269560
84.97037000	0.11781220
84.97239000	0.13734590
84.97440000	0.12269560
84.97642000	0.12757900
84.97844000	0.12269560
84.98045000	0.11781220
84.98247000	0.10804540
84.98448000	0.11781220
84.98650000	0.11781220
84.98852000	0.12269560
84.99053000	0.13734590
84.99255000	0.12269560
84.99456000	0.13246250
84.99658000	0.13734590
84.99860000	0.10804540
85.00061000	0.10804540
85.00263000	0.12757900
85.00465000	0.12269560
85.00666000	0.11781220
85.00867000	0.11292880
85.01069000	0.13734590
85.01271000	0.13734590
85.01472000	0.10804540
85.01674000	0.12269560
85.01875000	0.09827860
85.02077000	0.10804540
85.02278000	0.09827860
85.02480000	0.11292880
85.02682000	0.11292880
85.02883000	0.09827860
85.03085000	0.11292880
85.03287000	0.10316200
85.03488000	0.12757900
85.03690000	0.10316200
85.03892000	0.11781220
85.04093000	0.11292880
85.04295000	0.10316200
85.04497000	0.11292880
85.04697000	0.15199610
85.04900000	0.10316200
85.05102000	0.12757900
85.05302000	0.12269560
85.05505000	0.12269560
85.05706000	0.12757900
85.05907000	0.11781220
85.06110000	0.12269560
85.06311000	0.13246250
85.06512000	0.14222930
85.06714000	0.12269560
85.06916000	0.13734590
85.07117000	0.13734590
85.07319000	0.14222930
85.07521000	0.12269560
85.07722000	0.11292880
85.07924000	0.11781220
85.08125000	0.11781220
85.08327000	0.09827860
85.08529000	0.10804540
85.08730000	0.11292880
85.08932000	0.12269560
85.09133000	0.10804540
85.09335000	0.12269560
85.09536000	0.11292880
85.09738000	0.11781220
85.09940000	0.10316200
85.10141000	0.10316200
85.10343000	0.10804540
85.10544000	0.12269560
85.10746000	0.10316200
85.10948000	0.13246250
85.11149000	0.12269560
85.11351000	0.12757900
85.11552000	0.11781220
85.11754000	0.11292880
85.11955000	0.13246250
85.12157000	0.10316200
85.12359000	0.11781220
85.12560000	0.12269560
85.12762000	0.11292880
85.12963000	0.10804540
85.13165000	0.08851178
85.13367000	0.09827860
85.13568000	0.10316200
85.13770000	0.11781220
85.13972000	0.13734590
85.14173000	0.11781220
85.14375000	0.10804540
85.14577000	0.08851178
85.14778000	0.11781220
85.14980000	0.12269560
85.15182000	0.12757900
85.15382000	0.14222930
85.15585000	0.12757900
85.15787000	0.14711270
85.15987000	0.13734590
85.16190000	0.13246250
85.16391000	0.13246250
85.16592000	0.13246250
85.16794000	0.13246250
85.16995000	0.12269560
85.17197000	0.12757900
85.17399000	0.11781220
85.17600000	0.14222930
85.17802000	0.13246250
85.18004000	0.12757900
85.18204000	0.12269560
85.18407000	0.12757900
85.18609000	0.12269560
85.18810000	0.12269560
85.19012000	0.13246250
85.19213000	0.12269560
85.19415000	0.10804540
85.19617000	0.10804540
85.19818000	0.11781220
85.20020000	0.11781220
85.20221000	0.09339519
85.20423000	0.11292880
85.20624000	0.12269560
85.20826000	0.10316200
85.21028000	0.12757900
85.21229000	0.12269560
85.21431000	0.12757900
85.21632000	0.12269560
85.21834000	0.10804540
85.22036000	0.10316200
85.22237000	0.09339519
85.22439000	0.12757900
85.22640000	0.11781220
85.22842000	0.10804540
85.23043000	0.10804540
85.23245000	0.11781220
85.23447000	0.11781220
85.23648000	0.11781220
85.23850000	0.13246250
85.24052000	0.12757900
85.24253000	0.13734590
85.24455000	0.12757900
85.24657000	0.14222930
85.24858000	0.11781220
85.25060000	0.12269560
85.25261000	0.11292880
85.25462000	0.09827860
85.25665000	0.10316200
85.25866000	0.12269560
85.26067000	0.11781220
85.26270000	0.09827860
85.26470000	0.13246250
85.26672000	0.13734590
85.26875000	0.13246250
85.27075000	0.12757900
85.27277000	0.10316200
85.27479000	0.12269560
85.27680000	0.12757900
85.27882000	0.11292880
85.28084000	0.11292880
85.28285000	0.12757900
85.28487000	0.13734590
85.28689000	0.12757900
85.28889000	0.14222930
85.29092000	0.13734590
85.29294000	0.12269560
85.29494000	0.11292880
85.29697000	0.12757900
85.29898000	0.11292880
85.30099000	0.10804540
85.30301000	0.11781220
85.30503000	0.12757900
85.30704000	0.12269560
85.30906000	0.11781220
85.31108000	0.11292880
85.31309000	0.09827860
85.31511000	0.11292880
85.31713000	0.11781220
85.31914000	0.12269560
85.32116000	0.11292880
85.32317000	0.10316200
85.32519000	0.10316200
85.32720000	0.10316200
85.32922000	0.12757900
85.33124000	0.11781220
85.33325000	0.11292880
85.33527000	0.11781220
85.33728000	0.11292880
85.33930000	0.10804540
85.34132000	0.13734590
85.34333000	0.10804540
85.34535000	0.11292880
