Time	Channel A
(ms)	(V)

-4.55065600	0.14650230
-4.55014400	0.12696860
-4.54963200	0.14161880
-4.54912000	0.14161880
-4.54860800	0.14650230
-4.54809600	0.13185200
-4.54758400	0.13673540
-4.54707200	0.13185200
-4.54656000	0.13673540
-4.54604800	0.14650230
-4.54553600	0.14161880
-4.54502400	0.14161880
-4.54451200	0.14161880
-4.54400000	0.13185200
-4.54348800	0.12208520
-4.54297600	0.13673540
-4.54246400	0.14161880
-4.54195200	0.10743500
-4.54144000	0.13185200
-4.54092800	0.12208520
-4.54041600	0.10743500
-4.53990400	0.11720180
-4.53939200	0.11720180
-4.53888000	0.12208520
-4.53836800	0.11720180
-4.53785600	0.10743500
-4.53734400	0.12696860
-4.53683200	0.11231840
-4.53632000	0.12208520
-4.53580800	0.11231840
-4.53529600	0.12208520
-4.53478400	0.12696860
-4.53427200	0.12208520
-4.53376000	0.11231840
-4.53324800	0.10743500
-4.53273600	0.12208520
-4.53222400	0.10743500
-4.53171200	0.13673540
-4.53120000	0.13185200
-4.53068800	0.12696860
-4.53017600	0.13185200
-4.52966400	0.13185200
-4.52915200	0.12696860
-4.52864000	0.13673540
-4.52812800	0.14161880
-4.52761600	0.13185200
-4.52710400	0.15138570
-4.52659200	0.15626910
-4.52608000	0.13673540
-4.52556800	0.12208520
-4.52505600	0.12696860
-4.52454400	0.13185200
-4.52403200	0.13185200
-4.52352000	0.13673540
-4.52300800	0.12696860
-4.52249600	0.14650230
-4.52198400	0.14650230
-4.52147200	0.14650230
-4.52096000	0.15138570
-4.52044800	0.12696860
-4.51993600	0.12208520
-4.51942400	0.13673540
-4.51891200	0.12696860
-4.51840000	0.13185200
-4.51788800	0.12696860
-4.51737600	0.12696860
-4.51686400	0.13185200
-4.51635200	0.11231840
-4.51584000	0.12696860
-4.51532800	0.12696860
-4.51481600	0.14161880
-4.51430400	0.13673540
-4.51379200	0.12696860
-4.51328000	0.13185200
-4.51276800	0.12208520
-4.51225600	0.12696860
-4.51174400	0.12208520
-4.51123200	0.11231840
-4.51072000	0.11720180
-4.51020800	0.12208520
-4.50969600	0.13185200
-4.50918400	0.10743500
-4.50867200	0.13673540
-4.50816000	0.11720180
-4.50764800	0.12696860
-4.50713600	0.11720180
-4.50662400	0.12208520
-4.50611200	0.13185200
-4.50560000	0.11720180
-4.50508800	0.12208520
-4.50457600	0.12208520
-4.50406400	0.10255160
-4.50355200	0.13185200
-4.50304000	0.13185200
-4.50252800	0.11231840
-4.50201600	0.10743500
-4.50150400	0.11231840
-4.50099200	0.11231840
-4.50048000	0.10743500
-4.49996800	0.10255160
-4.49945600	0.09766817
-4.49894400	0.09278476
-4.49843200	0.10255160
-4.49792000	0.10743500
-4.49740800	0.10743500
-4.49689600	0.11720180
-4.49638400	0.10255160
-4.49587200	0.11720180
-4.49536000	0.12208520
-4.49484800	0.12208520
-4.49433600	0.12696860
-4.49382400	0.13673540
-4.49331200	0.12696860
-4.49280000	0.11231840
-4.49228800	0.12208520
-4.49177600	0.12208520
-4.49126400	0.14161880
-4.49075200	0.12696860
-4.49024000	0.14161880
-4.48972800	0.13185200
-4.48921600	0.12696860
-4.48870400	0.13673540
-4.48819200	0.12696860
-4.48768000	0.12208520
-4.48716800	0.11231840
-4.48665600	0.11720180
-4.48614400	0.13673540
-4.48563200	0.10743500
-4.48512000	0.10743500
-4.48460800	0.12208520
-4.48409600	0.11231840
-4.48358400	0.10255160
-4.48307200	0.12208520
-4.48256000	0.12208520
